IDENTIFIER,SPECIES,STRAIN,PLATENUM,PLATEPOSITION,,Growth,Condition,Environment
25-333Y-2,Rhodotorula graminis,TFCN_25-333Y-2,2,A11,177,3,G,marsh_tidalflat
22C-4,Rhodotorula mucilaginosa,TFCN_22C-4,2,B11,178,3,G,marsh_tidalflat
181A-1,Rhodotorula mucilaginosa,TFCN_181A-1,2,C11,179,3,G,marsh_tidalflat
0209-6-11,Rhodotorula mucilaginosa,TFCN_209-6-11,2,D11,180,3,G,marsh_tidalflat
0209-6-17,Rhodotorula mucilaginosa,TFCN_209-6-17,2,E11,181,3,G,marsh_tidalflat
0209-6-5,Rhodotorula mucilaginosa,TFCN_209-6-5,2,F11,182,3,G,marsh_tidalflat
98A-10,Rhodotorula mucilaginosa,TFCN_98A-10,2,G11,183,3,G,marsh_tidalflat
98A-5,Rhodotorula mucilaginosa,TFCN_98A-5,2,H11,184,3,G,marsh_tidalflat
98C-3,Rhodotorula mucilaginosa,TFCN_98C-3,2,A12,185,3,G,marsh_tidalflat
98C-5,Rhodotorula mucilaginosa,TFCN_98C-5,2,B12,186,3,G,marsh_tidalflat
98C-7,Rhodotorula mucilaginosa,TFCN_98C-7,2,C12,187,3,G,marsh_tidalflat
98C-8,Rhodotorula mucilaginosa,TFCN_98C-8,2,D12,188,3,G,marsh_tidalflat
100D-1,Rhodotorula mucilaginosa,TFCN_100D-1,2,E12,189,3,G,marsh_tidalflat
102C-1,Rhodotorula mucilaginosa,TFCN_102C-1,2,F12,190,3,G,marsh_tidalflat
102C-2,Rhodotorula mucilaginosa,TFCN_102C-2,2,G12,191,3,G,marsh_tidalflat
102D-1,Rhodotorula mucilaginosa,TFCN_102D-1,2,H12,192,3,G,marsh_tidalflat
102D-2,Rhodotorula mucilaginosa,TFCN_102D-2,3,A1,193,3,G,marsh_tidalflat
118C-2,Rhodotorula mucilaginosa,TFCN_118C-2,3,B1,194,3,G,marsh_tidalflat
122C-2,Rhodotorula mucilaginosa,TFCN_122C-2,3,C1,195,3,G,marsh_tidalflat
2M-1-4,Rhodotorula mucilaginosa,TFCN_2M-1-4,3,D1,196,3,G,marsh_tidalflat
3M-1-1,Rhodotorula mucilaginosa,TFCN_3M-1-1,3,E1,197,3,G,marsh_tidalflat
4M-1-2,Rhodotorula mucilaginosa,TFCN_4M-1-2,3,F1,198,3,G,marsh_tidalflat
4M-1-3,Rhodotorula mucilaginosa,TFCN_4M-1-3,3,G1,199,3,G,marsh_tidalflat
4M-1-4,Rhodotorula mucilaginosa,TFCN_4M-1-4,3,H1,200,3,G,marsh_tidalflat
4M-1-5,Rhodotorula mucilaginosa,TFCN_4M-1-5,3,A2,201,3,G,marsh_tidalflat
105A-2,Rhodotorula mucilaginosa,TFCN_105A-2,3,B2,202,3,G,marsh_tidalflat
106A-1,Rhodotorula mucilaginosa,TFCN_106A-1,3,C2,203,3,G,marsh_tidalflat
107A-6,Rhodotorula mucilaginosa,TFCN_107A-6,3,D2,204,3,G,marsh_tidalflat
107C-3,Rhodotorula mucilaginosa,TFCN_107C-3,3,E2,205,3,G,marsh_tidalflat
110C-1,Rhodotorula mucilaginosa,TFCN_110C-1,3,F2,206,3,G,marsh_tidalflat
137D-4,Rhodotorula mucilaginosa,TFCN_137D-4,3,G2,207,3,G,marsh_tidalflat
138A-1,Rhodotorula mucilaginosa,TFCN_138A-1,3,H2,208,3,G,marsh_tidalflat
130D-4,Rhodotorula mucilaginosa,TFCN_130D-4,3,A3,209,3,G,marsh_tidalflat
140A-3,Rhodotorula mucilaginosa,TFCN_140A-3,3,B3,210,3,G,marsh_tidalflat
141C-2,Rhodotorula mucilaginosa,TFCN_141C-2,3,C3,211,3,G,marsh_tidalflat
134A-3,Rhodotorula mucilaginosa,TFCN_134A-3,3,D3,212,3,G,marsh_tidalflat
223A-8,Rhodotorula mucilaginosa,TFCN_223A-8,3,E3,213,3,G,marsh_tidalflat
17-325D-2,Rhodotorula mucilaginosa,TFCN_17-325D-2,3,F3,214,3,G,marsh_tidalflat
17-325D-4,Rhodotorula mucilaginosa,TFCN_17-325D-4,3,G3,215,3,G,marsh_tidalflat
17-325P-1,Rhodotorula mucilaginosa,TFCN_17-325P-1,3,H3,216,3,G,marsh_tidalflat
273H-1,Rhodotorula mucilaginosa,TFCN_273H-1,3,A4,217,3,G,marsh_tidalflat
270H-1,Rhodotorula mucilaginosa,TFCN_270H-1,3,B4,218,3,G,marsh_tidalflat
270H-2,Rhodotorula mucilaginosa,TFCN_270H-2,3,C4,219,3,G,marsh_tidalflat
25-331D-1,Rhodotorula mucilaginosa,TFCN_25-331D-1,3,D4,220,3,G,marsh_tidalflat
186DK③-2,Rhodotorula mucilaginosa,TFCN_186DK3-2,3,E4,221,3,G,marsh_tidalflat
404D-1,Rhodotorula mucilaginosa,TFCN_404D-1,3,F4,222,3,G,marsh_tidalflat
33A-4,Rhodotorula mucilaginosa,TFCN_33A-4,3,G4,223,3,G,marsh_tidalflat
340-1,Rhodotorula mucilaginosa,TFCN_340-1,3,H4,224,3,G,marsh_tidalflat
340-3,Rhodotorula mucilaginosa,TFCN_340-3,3,A5,225,3,G,marsh_tidalflat
17-329Y-4,Rhodotorula mucilaginosa,TFCN_17-329Y-4,3,B5,226,3,G,marsh_tidalflat
17-337P-5,Rhodotorula mucilaginosa,TFCN_17-337P-5,3,C5,227,3,G,marsh_tidalflat
25-337M-3,Rhodotorula mucilaginosa,TFCN_25-337M-3,3,D5,228,3,G,marsh_tidalflat
25-327D-1,Rhodotorula mucilaginosa,TFCN_25-327D-1,3,E5,229,3,G,marsh_tidalflat
25-337Y-1,Rhodotorula mucilaginosa,TFCN_25-337Y-1,3,F5,230,3,G,marsh_tidalflat
17-0-2E337-3,Rhodotorula mucilaginosa,TFCN_17-0-2E337-3,3,G5,231,3,G,marsh_tidalflat
25-325Y-1,Rhodotorula mucilaginosa,TFCN_25-325Y-1,3,H5,232,3,G,marsh_tidalflat
17-332D-1,Rhodotorula mucilaginosa,TFCN_17-332D-1,3,A6,233,3,G,marsh_tidalflat
17-332C-1,Rhodotorula mucilaginosa,TFCN_17-332C-1,3,B6,234,3,G,marsh_tidalflat
25-332M-1,Rhodotorula mucilaginosa,TFCN_25-332M-1,3,C6,235,3,G,marsh_tidalflat
25-332C-1,Rhodotorula mucilaginosa,TFCN_25-332C-1,3,D6,236,3,G,marsh_tidalflat
25-332M-2,Rhodotorula mucilaginosa,TFCN_25-332M-2,3,E6,237,3,G,marsh_tidalflat
17-332C-2,Rhodotorula mucilaginosa,TFCN_17-332C-2,3,F6,238,3,G,marsh_tidalflat
17-332P-1,Rhodotorula mucilaginosa,TFCN_17-332P-1,3,G6,239,3,G,marsh_tidalflat
25-332D-2,Rhodotorula mucilaginosa,TFCN_25-332D-2,3,H6,240,3,G,marsh_tidalflat
25-332Y-1,Rhodotorula mucilaginosa,TFCN_25-332Y-1,3,A7,241,3,G,marsh_tidalflat
17-332M-2,Rhodotorula mucilaginosa,TFCN_17-332M-2,3,B7,242,3,G,marsh_tidalflat
25-332D-1,Rhodotorula mucilaginosa,TFCN_25-332D-1,3,C7,243,3,G,marsh_tidalflat
25-332P-2,Rhodotorula mucilaginosa,TFCN_25-332P-2,3,D7,244,3,G,marsh_tidalflat
17-332M-1,Rhodotorula mucilaginosa,TFCN_17-332M-1,3,E7,245,3,G,marsh_tidalflat
17-332P-2,Rhodotorula mucilaginosa,TFCN_17-332P-2,3,F7,246,3,G,marsh_tidalflat
25-0-2E332-1,Rhodotorula mucilaginosa,TFCN_25-0-2E332-1,3,G7,247,3,G,marsh_tidalflat
25-0-2E333-9,Rhodotorula mucilaginosa,TFCN_25-0-2E333-9,3,H7,248,3,G,marsh_tidalflat
25-333C-2,Rhodotorula mucilaginosa,TFCN_25-333C-2,3,A8,249,3,G,marsh_tidalflat
25-333P-2,Rhodotorula mucilaginosa,TFCN_25-333P-2,3,B8,250,3,G,marsh_tidalflat
25-0-2E333-5,Rhodotorula mucilaginosa,TFCN_25-0-2E333-5,3,C8,251,3,G,marsh_tidalflat
25-0-2E333-1,Rhodotorula mucilaginosa,TFCN_25-0-2E333-1,3,D8,252,3,G,marsh_tidalflat
25-333Y-9,Rhodotorula mucilaginosa,TFCN_25-333Y-9,3,E8,253,3,G,marsh_tidalflat
17-333D-2,Rhodotorula mucilaginosa,TFCN_17-333D-2,3,F8,254,3,G,marsh_tidalflat
17-333P-6,Rhodotorula mucilaginosa,TFCN_17-333P-6,3,G8,255,3,G,marsh_tidalflat
25-334D-3,Rhodotorula mucilaginosa,TFCN_25-334D-3,3,H8,256,3,G,marsh_tidalflat
25-0-2E334-1,Rhodotorula mucilaginosa,TFCN_25-0-2E334-1,3,A9,257,3,G,marsh_tidalflat
25-334Y-6,Rhodotorula mucilaginosa,TFCN_25-334Y-6,3,B9,258,3,G,marsh_tidalflat
17-0-2E334-10,Rhodotorula mucilaginosa,TFCN_17-0-2E334-10,3,C9,259,3,G,marsh_tidalflat
17-0-2E334-4,Rhodotorula mucilaginosa,TFCN_17-0-2E334-4,3,D9,260,3,G,marsh_tidalflat
17-334Y-5,Rhodotorula mucilaginosa,TFCN_17-334Y-5,3,E9,261,3,G,marsh_tidalflat
17-334Y-3,Rhodotorula mucilaginosa,TFCN_17-334Y-3,3,F9,262,3,G,marsh_tidalflat
17-334D-6,Rhodotorula mucilaginosa,TFCN_17-334D-6,3,G9,263,3,G,marsh_tidalflat
17-334P-3,Rhodotorula mucilaginosa,TFCN_17-334P-3,3,H9,264,3,G,marsh_tidalflat
17-334Y-2,Rhodotorula mucilaginosa,TFCN_17-334Y-2,3,A10,265,3,G,marsh_tidalflat
17-334C-1,Rhodotorula mucilaginosa,TFCN_17-334C-1,3,B10,266,3,G,marsh_tidalflat
342-3,Rhodotorula paludigena,TFCN_342-3,3,C10,267,3,G,marsh_tidalflat
48A-15,Rhodotorula paludigena,TFCN_48A-15,3,D10,268,2,G,marsh_tidalflat
48A-2,Rhodotorula paludigenum,TFCN_48A-2,3,E10,269,3,G,marsh_tidalflat
48A-3,Rhodotorula paludigena,TFCN_48A-3,3,F10,270,3,G,marsh_tidalflat
48C-3,Rhodotorula paludigenum,TFCN_48C-3,3,G10,271,3,G,marsh_tidalflat
48D-10,Rhodotorula paludigena,TFCN_48D-10,3,H10,272,2,G,marsh_tidalflat
48D-4,Rhodotorula paludigenum,TFCN_48D-4,3,A11,273,3,G,marsh_tidalflat
43A-0-22,Rhodotorula paludigenum,TFCN_43A-0-22,3,B11,274,3,G,marsh_tidalflat
54D-2,Rhodotorula sphaerocarpa,TFCN_54D-2,3,C11,275,3,G,marsh_tidalflat
152A-12,Rhodotorula sphaerocarpa,TFCN_152A-12,3,D11,276,3,G,marsh_tidalflat
86A-12,Rhodotorula sphaerocarpa,TFCN_86A-12,3,E11,277,3,G,marsh_tidalflat
86A-6,Rhodotorula sphaerocarpa,TFCN_86A-6,3,F11,278,3,G,marsh_tidalflat
86A-8,Rhodotorula sphaerocarpa,TFCN_86A-8,3,G11,279,3,G,marsh_tidalflat
86C-10,Rhodotorula sphaerocarpa,TFCN_86C-10,3,H11,280,3,G,marsh_tidalflat
86C-7,Rhodotorula sphaerocarpa,TFCN_86C-7,3,A12,281,3,G,marsh_tidalflat
86C-9,Rhodotorula sphaerocarpa,TFCN_86C-9,3,B12,282,3,G,marsh_tidalflat
0213-6-4,Rhodotorula sphaerocarpa,TFCN_213-6-4,3,C12,283,3,G,marsh_tidalflat
152A-4,Rhodotorula toruloides,TFCN_152A-4,3,D12,284,3,G,marsh_tidalflat
152A-5,Rhodotorula toruloides,TFCN_152A-5,3,E12,285,3,G,marsh_tidalflat
152C-5,Rhodotorula toruloides,TFCN_152C-5,3,F12,286,3,G,marsh_tidalflat
152C-6,Rhodotorula toruloides,TFCN_152C-6,3,G12,287,0,G,marsh_tidalflat
152D-6,Rhodotorula toruloides,TFCN_152D-6,3,H12,288,3,G,marsh_tidalflat
25-395P-1,Rhodotorula alborubescens,TFCN_25-395P-1,1,A1,1,3,N,marsh_tidalflat
17-267M-1,Rhodotorula alborubescens,TFCN_17-267M-1,1,B1,2,3,N,marsh_tidalflat
17-291Y-1,Rhodotorula alborubescens,TFCN_17-291Y-1,1,C1,3,3,N,marsh_tidalflat
17Y-278-1,Rhodotorula alborubescens,TFCN_17Y-278-1,1,D1,4,3,N,marsh_tidalflat
17-0-2E390-1,Rhodotorula alborubescens,TFCN_17-0-2E390-1,1,E1,5,3,N,marsh_tidalflat
17-390M-1,Rhodotorula alborubescens,TFCN_17-390M-1,1,F1,6,3,N,marsh_tidalflat
25-0-2E390-1,Rhodotorula alborubescens,TFCN_25-0-2E390-1,1,G1,7,3,N,marsh_tidalflat
Y-17376,Rhodotorula araucariae,NRRL_Y-17376,1,H1,8,3,N,plant
8058,Rhodotorula babjevae,DBVPG_8058,1,A2,9,3,N,food
Y-7196,Rhodotorula diobovata,NRRL_Y-7196,1,B2,10,3,N,unknown
6195,Rhodotorula diobovata,DBVPG_6195,1,C2,11,3,N,marine
6202,Rhodotorula diobovata,DBVPG_6202,1,D2,12,3,N,marine
211A-3,Rhodotorula diobovata,TFCN_211A-3,1,E2,13,3,N,marsh_tidalflat
17-331Y-3,Rhodotorula diobovata,TFCN_17-331Y-3,1,F2,14,3,N,marsh_tidalflat
212C-2,Rhodotorula diobovata,TFCN_212C-2,1,G2,15,3,N,marsh_tidalflat
7-9-2002,Rhodotorula diobovata,TFCN_7-9-2,1,H2,16,3,N,marsh_tidalflat
Y-2504,Rhodotorula dairenensis,NRRL_Y-2504,1,A3,17,3,N,soil
7W-292-3,Rhodotorula dairenensis,TFCN_7W-292-3,1,B3,18,3,N,marsh_tidalflat
3768,Rhodotorula dairenensis,DBVPG_3768,1,C3,19,3,N,soil
3770,Rhodotorula dairenensis,DBVPG_3770,1,D3,20,3,N,soil
3853,Rhodotorula dairenensis,DBVPG_3853,1,E3,21,3,N,plant
3983,Rhodotorula mucilaginosa,DBVPG_3983,1,F3,22,3,N,cave
3090,Rhodotorula mucilaginosa,DBVPG_3090,1,G3,23,3,N,food
3235,Rhodotorula mucilaginosa,DBVPG_3235,1,H3,24,3,N,food
RGl 3380,Rhodotorula glutinis,DBVPG_3380,1,A4,25,3,N,plant
3442,Rhodotorula mucilaginosa,DBVPG_3442,1,B4,26,3,N,food
4949,Rhodotorula mucilaginosa,DBVPG_4949,1,C4,27,3,N,soil
4958,Rhodotorula mucilaginosa,DBVPG_4958,1,D4,28,3,N,soil
4530,Rhodotorula glutinis,DBVPG_4530,1,E4,29,3,N,plant
4531,Rhodotorula glutinis,DBVPG_4531,1,F4,30,3,N,plant
6081,Rhodotorula glutinis,DBVPG_6081,1,G4,31,3,N,air_cloud
17-338D-3,Rhodotorula glutinis,TFCN_17-338D-3,1,H4,32,3,N,marsh_tidalflat
Y-2474,Rhodotorula graminis,NRRL_Y-2474,1,A5,33,3,N,plant
7021,Rhodotorula graminis,DBVPG_7021,1,B5,34,3,N,plant
17-328P-3,Rhodotorula mucilaginosa,TFCN_17-328P-3,1,C5,35,3,N,marsh_tidalflat
17-0-2E329-4,Rhodotorula graminis,TFCN_17-0-2E329-4,1,D5,36,3,N,marsh_tidalflat
25-335C-1,Rhodotorula graminis,TFCN_25-335C-1,1,E5,37,3,N,marsh_tidalflat
25-333D-1,Rhodotorula graminis,TFCN_25-333D-1,1,F5,38,3,N,marsh_tidalflat
25-0-2E333-7,Rhodotorula graminis,TFCN_25-0-2E333-7,1,G5,39,3,N,marsh_tidalflat
17-334Y-6,Rhodotorula graminis,TFCN_17-334Y-6,1,H5,40,3,N,marsh_tidalflat
Y-2510,Rhodotorula mucilaginosa,NRRL_Y-2510,1,A6,41,3,N,unknown
3381,Rhodotorula mucilaginosa,DBVPG_3381,1,B6,42,3,N,plant
4376,Rhodotorula mucilaginosa,DBVPG_4376,1,C6,43,3,N,food
4377,Rhodotorula mucilaginosa,DBVPG_4377,1,D6,44,3,N,marine
4534,Rhodotorula mucilaginosa,DBVPG_4534,1,E6,45,3,N,sand
4618,Rhodotorula mucilaginosa,DBVPG_4618,1,F6,46,3,N,soil
4669,Rhodotorula mucilaginosa,DBVPG_4669,1,G6,47,3,N,food
4962,Rhodotorula mucilaginosa,DBVPG_4962,1,H6,48,3,N,soil
5227,Rhodotorula mucilaginosa,DBVPG_5227,1,A7,49,3,N,soil
5757,Rhodotorula mucilaginosa,DBVPG_5757,1,B7,50,3,N,soil
6091,Rhodotorula mucilaginosa,DBVPG_6091,1,C7,51,3,N,insect
7922,Rhodotorula evergladensis,DBVPG_7922,1,D7,52,3,N,soil
8043,Rhodotorula mucilaginosa,DBVPG_8043,1,E7,53,3,N,water
10780,Rhodotorula mucilaginosa,DBVPG_10780,1,F7,54,3,N,snow_ice
137C-3,Rhodotorula mucilaginosa,TFCN_137C-3,1,G7,55,3,N,marsh_tidalflat
172A-1,Rhodotorula mucilaginosa,TFCN_172A-1,1,H7,56,3,N,marsh_tidalflat
0209-6-1,Rhodotorula mucilaginosa,TFCN_209-6-1,1,A8,57,3,N,marsh_tidalflat
89D-3,Rhodotorula mucilaginosa,TFCN_89D-3,1,B8,58,3,N,marsh_tidalflat
Y-48721,Rhodotorula mucilaginosa,NRRL_Y-2510,1,C8,59,3,N,unknown
7539,Rhodotorula kratochvilovae,DBVPG_7539,1,D8,60,3,N,unknown
10383,Rhodotorula kratochvilovae,DBVPG_10383,1,E8,61,3,N,soil
10753,Rhodotorula kratochvilovae,DBVPG_10753,1,F8,62,3,N,built env
1A-1-3,Rhodotorula pacifica,TFCN_1A-1-3,1,G8,63,3,N,marsh_tidalflat
1B-1-2,Rhodotorula pacifica,TFCN_1B-1-2,1,H8,64,3,N,marsh_tidalflat
Y-12923,Rhodotorula paludigena,NRRL_Y-12923,1,A9,65,3,N,plant
4610,Rhodotorula paludigena,DBVPG_4610,1,B9,66,3,N,plant
7323,Rhodotorula paludigena,DBVPG_7323,1,C9,67,3,N,marsh_tidalflat
342-2,Rhodotorula paludigena,TFCN_342-2,1,D9,68,3,N,marsh_tidalflat
48A-10,Rhodotorula paludigenum,TFCN_48A-10,1,E9,69,3,N,marsh_tidalflat
49A-1,Rhodotorula paludigena,TFCN_49A-1,1,F9,70,3,N,marsh_tidalflat
43A-4,Rhodotorula paludigena,TFCN_43A-4,1,G9,71,3,N,marsh_tidalflat
1A-1-2,Rhodotorula paludigena,TFCN_1A-1-2,1,H9,72,3,N,marsh_tidalflat
Y-7192,Rhodotorula sphaerocarpa,NRRL_Y-7192,1,A10,73,3,N,unknown
54D-1,Rhodotorula sphaerocarpa,TFCN_54D-1,1,B10,74,3,N,marsh_tidalflat
152A-2,Rhodotorula sphaerocarpa,TFCN_152A-2,1,C10,75,3,N,marsh_tidalflat
83C-1,Rhodotorula sphaerocarpa,TFCN_83C-1,1,D10,76,3,N,marsh_tidalflat
86A-3,Rhodotorula sphaerocarpa,TFCN_86A-3,1,E10,77,3,N,marsh_tidalflat
222A-2,Rhodotorula sphaerocarpa,TFCN_222A-2,1,F10,78,3,N,marsh_tidalflat
S22D-1,Rhodotorula sphaerocarpa,TFCN_S22D-1,1,G10,79,3,N,marsh_tidalflat
0213-6-2,Rhodotorula sphaerocarpa,TFCN_213-6-2,1,H10,80,3,N,marsh_tidalflat
4379,Rhodotorula mucilaginosa,DBVPG_4379,1,A11,81,3,N,food
4380,Rhodotorula mucilaginosa,DBVPG_4380,1,B11,82,3,N,sand
7947,Rhodotorula sp.,DBVPG_7947,1,C11,83,3,N,soil
10075,Rhodotorula sp.,DBVPG_10075,1,D11,84,3,N,soil
0363-1-2,Rhodotorula taiwanensis,TFCN_363-1-2,1,E11,85,3,N,marsh_tidalflat
0520-4-2-1,Rhodotorula taiwanensis,TFCN_0520-4-2-1,1,F11,86,3,N,marsh_tidalflat
0520-4-2-2,Rhodotorula taiwanensis,TFCN_0520-4-2-2,1,G11,87,3,N,marsh_tidalflat
357-1,Rhodotorula taiwanensis,TFCN_357-1,1,H11,88,3,N,marsh_tidalflat
6121,Rhodotorula toruloides,DBVPG_6121,1,A12,89,3,N,air_cloud
6739,Rhodotorula toruloides,DBVPG_6739,1,B12,90,3,N,soil
6742,Rhodotorula mucilaginosa,DBVPG_6742,1,C12,91,3,N,unknown
6743,Rhodotorula mucilaginosa,DBVPG_6743,1,D12,92,3,N,soil
152A-1,Rhodotorula toruloides,TFCN_152A-1,1,E12,93,3,N,marsh_tidalflat
152A-6,Rhodotorula toruloides,TFCN_152A-6,1,F12,94,3,N,marsh_tidalflat
152C-2,Rhodotorula toruloides,TFCN_152C-2,1,G12,95,3,N,marsh_tidalflat
152D-4,Rhodotorula toruloides,TFCN_152D-4,1,H12,96,0,N,marsh_tidalflat
3236,Rhodotorula mucilaginosa,DBVPG_3236,2,A1,97,3,N,food
3443,Rhodotorula mucilaginosa,DBVPG_3443,2,B1,98,3,N,food
3769,Rhodotorula glutinis,DBVPG_3769,2,C1,99,3,N,soil
3771,Rhodotorula dairenensis,DBVPG_3771,2,D1,100,3,N,soil
3772,Rhodotorula glutinis,DBVPG_3772,2,E1,101,3,N,soil
3773,Rhodotorula dairenensis,DBVPG_3773,2,F1,102,3,N,soil
3984,Rhodotorula mucilaginosa,DBVPG_3984,2,G1,103,3,N,cave
3985,Rhodotorula glutinis,DBVPG_3985,2,H1,104,3,N,cave
4304,Rhodotorula mucilaginosa,DBVPG_4304,2,A2,105,3,N,unknown
4964,Rhodotorula mucilaginosa,DBVPG_4964,2,B2,106,3,N,soil
6083,Rhodotorula graminis,DBVPG_6083,2,C2,107,2,N,plant
3044,Rhodotorula mucilaginosa,DBVPG_3044,2,D2,108,3,N,unknown
3045,Rhodotorula mucilaginosa,DBVPG_3045,2,E2,109,3,N,food
3237,Rhodotorula mucilaginosa,DBVPG_3237,2,F2,110,3,N,food
3238,Rhodotorula mucilaginosa,DBVPG_3238,2,G2,111,3,N,food
3239,Rhodotorula mucilaginosa,DBVPG_3239,2,H2,112,3,N,food
3382,Rhodotorula mucilaginosa,DBVPG_3382,2,A3,113,3,N,plant
3383,Rhodotorula mucilaginosa,DBVPG_3383,2,B3,114,3,N,plant
3384,Rhodotorula mucilaginosa,DBVPG_3384,2,C3,115,3,N,plant
3444,Rhodotorula mucilaginosa,DBVPG_3444,2,D3,116,3,N,food
3445,Rhodotorula mucilaginosa,DBVPG_3445,2,E3,117,3,N,food
3446,Rhodotorula mucilaginosa,DBVPG_3446,2,F3,118,3,N,food
3538,Rhodotorula mucilaginosa,DBVPG_3538,2,G3,119,3,N,soil
3774,Rhodotorula mucilaginosa,DBVPG_3774,2,H3,120,3,N,food
3775,Rhodotorula mucilaginosa,DBVPG_3775,2,A4,121,3,N,soil
3776,Rhodotorula mucilaginosa,DBVPG_3776,2,B4,122,3,N,soil
3777,Rhodotorula mucilaginosa,DBVPG_3777,2,C4,123,3,N,soil
3778,Rhodotorula mucilaginosa,DBVPG_3778,2,D4,124,3,N,soil
3780,Rhodotorula mucilaginosa,DBVPG_3780,2,E4,125,3,N,soil
3854,Rhodotorula mucilaginosa,DBVPG_3854,2,F4,126,3,N,plant
3855,Rhodotorula mucilaginosa,DBVPG_3855,2,G4,127,3,N,plant
3856,Rhodotorula mucilaginosa,DBVPG_3856,2,H4,128,3,N,plant
3857,Rhodotorula mucilaginosa,DBVPG_3857,2,A5,129,3,N,plant
3858,Rhodotorula mucilaginosa,DBVPG_3858,2,B5,130,3,N,insect
4201,Rhodotorula mucilaginosa,DBVPG_4201,2,C5,131,3,N,plant
4202,Rhodotorula mucilaginosa,DBVPG_4202,2,D5,132,3,N,soil
4203,Rhodotorula mucilaginosa,DBVPG_4203,2,E5,133,3,N,soil
4378,Rhodotorula mucilaginosa,DBVPG_4378,2,F5,134,3,N,food
4408,Rhodotorula mucilaginosa,DBVPG_4408,2,G5,135,3,N,marine
4466,Rhodotorula mucilaginosa,DBVPG_4466,2,H5,136,3,N,plant
4629,Rhodotorula mucilaginosa,DBVPG_4629,2,A6,137,3,N,soil
4920,Rhodotorula mucilaginosa,DBVPG_4920,2,B6,138,3,N,food
4945,Rhodotorula mucilaginosa,DBVPG_4945,2,C6,139,3,N,food
4946,Rhodotorula mucilaginosa,DBVPG_4946,2,D6,140,3,N,food
4947,Rhodotorula mucilaginosa,DBVPG_4947,2,E6,141,3,N,food
4950,Rhodotorula mucilaginosa,DBVPG_4950,2,F6,142,3,N,soil
4952,Rhodotorula mucilaginosa,DBVPG_4952,2,G6,143,3,N,soil
4956,Rhodotorula mucilaginosa,DBVPG_4956,2,H6,144,3,N,soil
4957,Rhodotorula mucilaginosa,DBVPG_4957,2,A7,145,3,N,soil
4963,Rhodotorula mucilaginosa,DBVPG_4963,2,B7,146,3,N,soil
5225,Rhodotorula mucilaginosa,DBVPG_5225,2,C7,147,3,N,soil
5226,Rhodotorula mucilaginosa,DBVPG_5226,2,D7,148,3,N,soil
5228,Rhodotorula mucilaginosa,DBVPG_5228,2,E7,149,3,N,soil
5229,Rhodotorula mucilaginosa,DBVPG_5229,2,F7,150,3,N,soil
5235,Rhodotorula mucilaginosa,DBVPG_5235,2,G7,151,3,N,soil
5236,Rhodotorula mucilaginosa,DBVPG_5236,2,H7,152,3,N,soil
5758,Rhodotorula mucilaginosa,DBVPG_5758,2,A8,153,3,N,soil
5759,Rhodotorula mucilaginosa,DBVPG_5759,2,B8,154,3,N,soil
6092,Rhodotorula mucilaginosa,DBVPG_6092,2,C8,155,3,N,unknown
6093,Rhodotorula mucilaginosa,DBVPG_6093,2,D8,156,3,N,unknown
6094,Rhodotorula mucilaginosa,DBVPG_6094,2,E8,157,3,N,unknown
6593,Rhodotorula mucilaginosa,DBVPG_6593,2,F8,158,3,N,unknown
6649,Rhodotorula mucilaginosa,DBVPG_6649,2,G8,159,3,N,plant
6660,Rhodotorula mucilaginosa,DBVPG_6660,2,H8,160,3,N,food
6803,Rhodotorula mucilaginosa,DBVPG_6803,2,A9,161,3,N,soil
7019,Rhodotorula mucilaginosa,DBVPG_7019,2,B9,162,3,N,unknown
10348,Rhodotorula mucilaginosa,DBVPG_10348,2,C9,163,3,N,soil
10619,Rhodotorula mucilaginosa,DBVPG_10619,2,D9,164,3,N,plant
10842,Rhodotorula mucilaginosa,DBVPG_10842,2,E9,165,3,N,snow_ice
10882,Rhodotorula mucilaginosa,DBVPG_10882,2,F9,166,3,N,rock
10886,Rhodotorula mucilaginosa,DBVPG_10886,2,G9,167,3,N,rock
10937,Rhodotorula mucilaginosa,DBVPG_10937,2,H9,168,3,N,food
10656,Rhodotorula nothofagi,DBVPG_10656,2,A10,169,3,N,soil
7316,Rhodotorula paludigena,DBVPG_7316,2,B10,170,3,N,marsh_tidalflat
6740,Rhodotorula mucilaginosa,DBVPG_6740,2,C10,171,3,N,plant
6741,Rhodotorula mucilaginosa,DBVPG_6741,2,D10,172,3,N,soil
7-9-2003,Rhodotorula diobovata,TFCN_7-9-3,2,E10,173,3,N,marsh_tidalflat
17-328C-3,Rhodotorula graminis,TFCN_17-328C-3,2,F10,174,3,N,marsh_tidalflat
25-335P-1,Rhodotorula graminis,TFCN_25-335P-1,2,G10,175,3,N,marsh_tidalflat
25-333P-5,Rhodotorula graminis,TFCN_25-333P-5,2,H10,176,3,N,marsh_tidalflat
25-333Y-2,Rhodotorula graminis,TFCN_25-333Y-2,2,A11,177,3,N,marsh_tidalflat
22C-4,Rhodotorula mucilaginosa,TFCN_22C-4,2,B11,178,3,N,marsh_tidalflat
181A-1,Rhodotorula mucilaginosa,TFCN_181A-1,2,C11,179,3,N,marsh_tidalflat
0209-6-11,Rhodotorula mucilaginosa,TFCN_209-6-11,2,D11,180,3,N,marsh_tidalflat
